instnm,state,ID,CITY
american business and technology university,mo,,
american intercontinental university,--,,
american public university system,--,,
amridge university,--,,
apex school of theology,nc,,
averett university-non-traditional programs,va,,
bergin universiy,ca,,
bloomsburg university of pennsylvania,pa,,
broadview college,ut,,
california intercontinental university,--,,
california university of management and sciences,ca,,
california university of pennsylvania,pa,,
cem college-mayaguez,pr,,
christian life college,il,,
city vision university,--,,
clarion university of pennsylvania,pa,,
college of biblical studies,tx,,
columbia central university,pr,,
columbia central university-yauco,pr,,
conservatory of music of puerto rico,pr,,
devry university-missouri,mo,,
devry university-pennsylvania,pa,,
devry university-tennessee,tn,,
dewey university-juana díaz,pr,,
eastern international college-belleville,nj,,
edinboro university of pennsylvania,pa,,
escuela de artes plasticas de puerto rico,pr,,
fidm-fashion institute of design & merchandising-san francisco,ca,,
gemini school of visual arts & communication,tx,,
grantham university,--,,
"houston christian university
",tx,,
huntington university of health sciences,--,,
institute of production and recording,mn,,
"iona university

",ny,,
living arts college,nc,,
lock haven university,pa,,
mansfield university of pennsylvania,pa,,
miller-motte college,--,,
national american university,--,,
national american university-georgetown,tx,,
national paralegal college,--,,
nazarene bible college,ky,,
northcentral university,--,,
nuc university - florida technical college,fl,,
radford university-carilion,va,,
rochester christian university,mi,,
sae expression college,ca,,
shorter college,ak,,
"skyline college

",--,,
southern states university,ca,,
southwest university of visual arts-albuquerque,nm,,
st. joseph's university-long island,ny,,
the creative center,ne,,
trident university international,--,,
united states sports academy,--,,
universidad ana g. mendez–carolina campus,pr,,
university of maine at machias,me,,
"university of minnesota-crookston
",mn,,
university of puerto rico-ponce,pr,,
university of the people,--,,
"university of the virgin islands, st. thomas",vi,,
veritas baptist college,--,,
walden university,--,,
washington state university everett,wa,,
washington state university spokane,wa,,
washington state university tri-cities,wa,,
washington state university vancouver,wa,,
washington university of science and technology,--,,
yellowstone christian college,mt,,
zaytuna college,ca,,
"kutztown university of pennsylvania
",pa,,
pennsylvania state university-world campus,--,,
university of wisconsin - madison,wi,,
